time,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2014-01-01 00:00:00+00:00,16504,4877,6085,5006,10282,12423,18051,7217,11777,10845,7368,12147
2014-01-01 01:00:00+00:00,16471,5068,6228,4900,10401,12035,17179,7130,11703,10569,7294,12019
2014-01-01 02:00:00+00:00,15968,4887,5591,4709,9899,11364,16365,6661,10954,9899,6556,11452
2014-01-01 03:00:00+00:00,15162,4580,5157,4306,9375,10839,15703,6233,10121,9451,6155,10818
2014-01-01 04:00:00+00:00,14851,4399,5001,4299,9025,10636,15549,6113,9674,8960,6048,10538
2014-01-01 05:00:00+00:00,14513,4406,5057,4279,9035,10521,15614,6140,9745,9074,6091,10317
2014-01-01 06:00:00+00:00,14149,4474,5135,4294,8925,10655,15679,6159,9756,9076,6139,10194
2014-01-01 07:00:00+00:00,14027,4426,5169,4346,8823,10676,15958,6166,9771,8780,5972,10156
2014-01-01 08:00:00+00:00,14201,4384,5116,4152,8681,10658,15895,6089,9690,8813,5850,10385
2014-01-01 09:00:00+00:00,14526,4527,5168,4240,8921,10908,16587,6174,9973,9108,6017,10613
2014-01-01 10:00:00+00:00,14885,4579,5409,4522,9306,11377,17374,6403,10157,9248,6210,10815
2014-01-01 11:00:00+00:00,15040,4768,5642,4664,9691,11831,18160,6705,10643,9462,6639,11190
2014-01-01 12:00:00+00:00,15328,4743,5858,4718,9832,12425,18395,6816,11133,9591,7070,11458
2014-01-01 13:00:00+00:00,14646,4471,5674,4392,9411,11855,18330,6482,10972,9195,6492,11358
2014-01-01 14:00:00+00:00,14158,4320,5469,4455,9165,11364,18035,6206,10162,8841,6077,11160
2014-01-01 15:00:00+00:00,14286,4257,5283,4455,9117,11401,17864,6164,10094,8640,6065,10970
2014-01-01 16:00:00+00:00,14998,4632,5335,4578,9774,11855,18514,6475,10148,9133,6267,11279
2014-01-01 17:00:00+00:00,16071,5006,5730,4903,10481,12336,19437,6919,10943,10178,6938,11941
2014-01-01 18:00:00+00:00,16597,5261,5874,5130,10684,12632,19980,7062,11274,10658,7094,12232
2014-01-01 19:00:00+00:00,16392,5214,5785,4989,10517,12538,19843,6943,11240,10476,6873,12161
2014-01-01 20:00:00+00:00,16063,5230,5453,4947,10205,12068,18996,6820,10753,9946,6487,11538
2014-01-01 21:00:00+00:00,15614,4987,5359,4842,10015,11790,18299,6901,10628,9432,6225,11267
2014-01-01 22:00:00+00:00,16350,4826,5829,4765,9990,11727,19223,7077,11103,10363,7021,11977
2014-01-01 23:00:00+00:00,15569,4476,6026,4798,9740,12047,18070,6746,10843,10075,6910,11623
2014-01-02 00:00:00+00:00,14840,4310,5312,4673,9334,11581,16357,6265,10377,9160,6325,10873
2014-01-02 01:00:00+00:00,14870,4513,5455,4485,9532,11107,15288,6123,10220,8882,6355,10713
2014-01-02 02:00:00+00:00,14414,4393,5014,4381,9150,10501,14552,5758,9467,8402,5645,10210
2014-01-02 03:00:00+00:00,14026,4278,4829,4126,8926,10084,14339,5603,9012,8178,5478,9750
2014-01-02 04:00:00+00:00,14287,4327,4979,4115,9121,10318,14772,5786,9276,8229,5703,9737
2014-01-02 05:00:00+00:00,14919,4596,5341,4625,9758,10944,16014,6222,9720,8557,6299,10088
2014-01-02 06:00:00+00:00,15623,4999,5808,5005,10404,11954,17711,6699,10512,9256,6945,10492
2014-01-02 07:00:00+00:00,16400,5300,6241,5343,10934,12689,19485,7127,11089,9741,7504,10905
2014-01-02 08:00:00+00:00,17186,5350,6462,5263,11178,12884,20211,7274,11336,10133,7755,11376
2014-01-02 09:00:00+00:00,17638,5479,6613,5288,11499,13113,20737,7422,11701,10575,7744,11768
2014-01-02 10:00:00+00:00,18085,5548,6610,5210,11669,13344,20894,7379,11762,10534,7702,12083
2014-01-02 11:00:00+00:00,18043,5736,6556,5218,12003,13503,21107,7492,11880,10613,7762,12504
2014-01-02 12:00:00+00:00,18063,5620,6554,5176,11907,13830,20724,7343,12020,10514,7642,12428
2014-01-02 13:00:00+00:00,17536,5455,6428,4971,11623,13291,20482,7078,11946,9847,7112,12438
2014-01-02 14:00:00+00:00,16964,5267,6131,4987,11240,12890,19903,6838,11062,9352,6887,11951
2014-01-02 15:00:00+00:00,16770,5205,5954,4874,11032,12832,19839,6804,10779,9122,6809,11503
2014-01-02 16:00:00+00:00,17154,5442,6054,4958,11479,13251,20742,7146,10960,9449,7034,11676
2014-01-02 17:00:00+00:00,18190,5890,6693,5561,12094,14158,21912,7817,11848,10727,7810,12394
2014-01-02 18:00:00+00:00,18504,5954,6842,5569,12253,14430,22343,7973,12333,11126,8102,12764
