Mois;FC minimum mensuel éolien (%);FC moyen mensuel éolien (%);FC maximum mensuel éolien (%);TC minimum mensuel éolien (%);TC moyen mensuel éolien (%);TC maximum mensuel éolien (%);FC moyen mensuel solaire (%);FC maximum mensuel solaire (%);TC moyen mensuel solaire (%);TC maximum mensuel solaire (%)
2025-09;1.0;21.8;63.9;0.5;12.9;40.3;13.8;67.3;8.2;39.3
2025-08;1.0;14.0;47.4;0.5;8.7;27.4;17.3;66.6;11.0;44.8
2025-07;1.5;15.6;49.2;0.7;9.1;31.6;20.1;71.7;11.6;41.7
2025-06;1.2;13.7;52.4;0.6;8.0;35.9;19.7;71.4;11.1;39.1
2025-05;0.9;18.8;53.1;0.5;11.2;31.5;17.9;64.7;10.7;38.2
2025-04;1.5;20.7;71.4;0.8;11.2;33.7;15.5;70.0;8.5;35.9
2025-03;2.0;22.4;54.0;0.9;10.2;27.4;13.0;69.9;6.0;33.7
2025-02;1.6;21.8;56.6;0.6;8.8;28.0;8.7;53.5;3.4;21.4
2025-01;1.7;31.1;80.0;0.5;12.1;38.4;5.2;44.2;1.8;14.4
2024-12;1.1;30.2;80.7;0.4;12.2;38.5;5.0;38.0;1.9;14.2
2024-11;0.3;23.7;81.4;0.1;10.3;40.3;7.0;44.8;2.9;21.2
2024-10;1.1;18.7;55.9;0.6;10.1;30.7;9.7;69.5;4.6;34.2
2024-09;1.5;23.9;69.1;0.7;13.2;36.3;14.2;74.3;6.9;40.2
2024-08;0.9;12.1;50.1;0.5;7.1;29.1;19.6;72.4;9.7;33.8
2024-07;0.9;12.0;51.4;0.4;6.7;30.6;20.0;71.3;9.3;30.8
2024-06;0.5;13.9;57.4;0.2;8.0;40.2;18.8;70.8;8.7;30.9
2024-05;0.3;14.6;53.3;0.1;8.0;25.3;17.2;78.7;8.0;37.8
2024-04;0.9;27.5;75.1;0.5;13.3;40.7;16.2;70.0;6.6;28.4
2024-03;0.9;26.5;76.6;0.4;11.5;32.6;13.1;68.1;4.9;26.6
2024-02;4.8;36.4;80.4;1.7;14.6;34.6;7.9;49.4;2.7;17.4
2024-01;2.1;32.1;79.5;0.8;11.8;36.8;5.9;49.3;1.8;15.3
2023-12;2.8;40.1;80.5;0.9;15.8;38.7;5.1;43.5;1.6;13.1
2023-11;4.9;40.0;77.8;1.5;17.1;41.2;6.9;45.9;2.3;14.4
2023-10;1.0;27.2;75.1;0.6;13.7;44.4;12.1;68.1;4.8;29.7
2023-09;0.6;14.9;51.5;0.3;7.8;28.1;18.0;71.3;7.0;30.3
2023-08;0.8;16.9;73.8;0.4;9.2;43.9;19.9;72.8;8.0;29.8
2023-07;1.1;20.0;56.3;0.5;10.4;29.4;21.1;73.6;8.0;29.7
2023-06;1.4;13.5;37.4;0.6;7.1;21.9;22.0;77.2;8.3;30.6
2023-05;2.8;23.0;52.1;1.5;11.8;27.9;20.3;78.2;7.7;28.2
2023-04;2.7;24.8;79.7;1.0;11.1;38.3;18.2;76.4;6.1;30.2
2023-03;3.0;37.2;83.3;1.2;15.2;36.3;13.7;68.5;4.1;20.6
2023-02;1.5;23.8;81.3;0.5;8.3;30.6;11.7;61.9;3.1;16.8
2023-01;3.5;35.8;73.3;1.1;13.0;30.8;5.3;36.9;1.3;9.0
2022-12;4.4;29.5;77.4;1.4;11.0;38.1;4.1;30.8;1.1;8.2
2022-11;4.1;32.7;72.3;1.6;13.5;35.3;7.4;53.1;2.2;17.0
2022-10;1.1;22.9;67.5;0.5;11.2;37.5;11.3;63.3;3.8;21.8
2022-09;1.0;15.7;61.1;0.5;7.4;27.3;16.7;70.8;5.4;26.6
2022-08;1.5;13.9;40.2;0.6;6.7;20.6;20.9;75.6;6.8;27.6
